env_step,episode_reward,epoch,rollout_length,step
999.0,-594.8065043324575,0.0,1.0,1
1999.0,-571.449592320758,1.0,1.0,2
2999.0,-578.1095389617275,2.0,1.0,3
3999.0,-727.6857581889087,3.0,1.0,4
4999.0,-552.9978721211281,4.0,1.0,5
5999.0,-440.73484760142486,5.0,1.0,6
6999.0,-467.5355259331791,6.0,1.0,7
7999.0,-470.7225642337479,7.0,1.0,8
8999.0,-303.36544923070875,8.0,1.0,9
9999.0,-629.1698729287132,9.0,1.0,10
10999.0,-592.5414227865206,10.0,1.0,11
11999.0,-450.03995935125465,11.0,1.0,12
12999.0,-431.17072107789227,12.0,1.0,13
13999.0,-160.09042312708726,13.0,1.0,14
14999.0,-216.22011361732518,14.0,1.0,15
15999.0,-759.8220048723563,15.0,1.0,16
16999.0,-356.3609950812907,16.0,1.0,17
17999.0,-204.12015891736638,17.0,1.0,18
18999.0,-287.5407948381208,18.0,1.0,19
19999.0,-1617.9597888296942,19.0,1.0,20
20999.0,-711.9698374602476,20.0,1.0,21
21999.0,-648.8696880464076,21.0,1.0,22
22999.0,-625.3750209225157,22.0,1.0,23
23999.0,-455.1117941474688,23.0,1.0,24
24999.0,-667.6555267326091,24.0,1.0,25
25999.0,-294.24722400367835,25.0,1.0,26
26999.0,-489.00221475012887,26.0,1.0,27
27999.0,-354.544875546845,27.0,1.0,28
28999.0,-538.4323098147925,28.0,1.0,29
29999.0,-731.3838580791615,29.0,1.0,30
30999.0,-501.37452306265334,30.0,1.0,31
31999.0,-978.989506638165,31.0,2.0,32
32999.0,-878.3629567550529,32.0,2.0,33
33999.0,-1034.0300535252159,33.0,2.0,34
34999.0,-603.2159233081102,34.0,2.0,35
35999.0,-912.0510930271566,35.0,2.0,36
36999.0,-1163.7856426349726,36.0,2.0,37
37999.0,-666.911952944552,37.0,2.0,38
38999.0,-692.4056839919226,38.0,2.0,39
39999.0,-716.5828569639174,39.0,2.0,40
40999.0,-350.8796728162973,40.0,2.0,41
41999.0,-758.4288252876622,41.0,2.0,42
42999.0,-562.411729611761,42.0,2.0,43
43999.0,-485.01191316594907,43.0,3.0,44
44999.0,-349.06796615401106,44.0,3.0,45
45999.0,-815.539250223401,45.0,3.0,46
46999.0,-317.43363869134737,46.0,3.0,47
47999.0,-559.0312611420283,47.0,3.0,48
48999.0,-567.2272033316353,48.0,3.0,49
49999.0,-496.46330201884484,49.0,3.0,50
50999.0,-1627.798660462004,50.0,3.0,51
51999.0,-664.17872734147,51.0,3.0,52
52999.0,-1504.0641106000385,52.0,3.0,53
53999.0,-1335.9447034788943,53.0,3.0,54
54999.0,-642.0105411674265,54.0,4.0,55
55999.0,-739.8676308340893,55.0,4.0,56
56999.0,-314.2735533737181,56.0,4.0,57
57999.0,-925.9931981194874,57.0,4.0,58
58999.0,-1557.070403567076,58.0,4.0,59
59999.0,-842.4765146982776,59.0,4.0,60
60999.0,-896.9637086370979,60.0,4.0,61
61999.0,-1116.4255638596615,61.0,4.0,62
62999.0,-452.01922294792007,62.0,4.0,63
63999.0,-1593.920864133174,63.0,4.0,64
64999.0,-431.39481551612835,64.0,4.0,65
65999.0,-1334.1354680214579,65.0,4.0,66
66999.0,-1433.192053385293,66.0,5.0,67
67999.0,-927.228290231852,67.0,5.0,68
68999.0,-1344.4488660026805,68.0,5.0,69
69999.0,-1108.9666036181004,69.0,5.0,70
70999.0,-1053.579162968262,70.0,5.0,71
71999.0,-1298.2765751851969,71.0,5.0,72
72999.0,-932.7911618415465,72.0,5.0,73
73999.0,-823.9268596625642,73.0,5.0,74
74999.0,-1232.9412127843486,74.0,5.0,75
75999.0,-1597.8528837081324,75.0,5.0,76
76999.0,-1222.5128005584138,76.0,5.0,77
77999.0,-1167.385229505688,77.0,5.0,78
78999.0,-1762.1525031205115,78.0,6.0,79
79999.0,-1397.799082735607,79.0,6.0,80
80999.0,-1362.7226067962542,80.0,6.0,81
81999.0,-1633.5843368609376,81.0,6.0,82
82999.0,-1117.9338869937935,82.0,6.0,83
83999.0,-669.6146924555107,83.0,6.0,84
84999.0,-2174.0711765030846,84.0,6.0,85
85999.0,-1273.2388485351864,85.0,6.0,86
86999.0,-1612.8546338215476,86.0,6.0,87
87999.0,-2283.9846332744723,87.0,6.0,88
88999.0,-976.2359449753617,88.0,6.0,89
89999.0,-2758.41622283975,89.0,7.0,90
90999.0,-627.798908353962,90.0,7.0,91
91999.0,-2546.277986930832,91.0,7.0,92
92999.0,-828.599762635706,92.0,7.0,93
93999.0,-711.686384034771,93.0,7.0,94
94999.0,-437.6003028832864,94.0,7.0,95
95999.0,-845.2679886386981,95.0,7.0,96
96999.0,-1360.1682626324111,96.0,7.0,97
97999.0,-785.6432310920447,97.0,7.0,98
98999.0,-958.2891933011502,98.0,7.0,99
99999.0,-721.5181167597113,99.0,7.0,100
100999.0,-1219.4921662012061,100.0,7.0,101
101999.0,-302.70891248260654,101.0,8.0,102
102999.0,-706.1219406883044,102.0,8.0,103
103999.0,-648.0426268093663,103.0,8.0,104
104999.0,-365.14807052612883,104.0,8.0,105
105999.0,-176.09889142052901,105.0,8.0,106
106999.0,57.805005221751316,106.0,8.0,107
107999.0,813.6861049185467,107.0,8.0,108
108999.0,351.1456306946892,108.0,8.0,109
109999.0,535.110365704328,109.0,8.0,110
110999.0,378.80805648019816,110.0,8.0,111
111999.0,1555.021218664035,111.0,8.0,112
112999.0,737.2967195190884,112.0,8.0,113
113999.0,1662.399264010399,113.0,9.0,114
114999.0,939.731612473426,114.0,9.0,115
115999.0,1213.1743858037403,115.0,9.0,116
116999.0,739.8930639849497,116.0,9.0,117
117999.0,2024.1843557191169,117.0,9.0,118
118999.0,1518.269748774981,118.0,9.0,119
119999.0,81.97023245281338,119.0,9.0,120
120999.0,1057.6994847708795,120.0,9.0,121
121999.0,1103.3723872229596,121.0,9.0,122
122999.0,2603.181106329088,122.0,9.0,123
123999.0,2778.3411308122104,123.0,9.0,124
124999.0,2326.6996453521306,124.0,10.0,125
125999.0,5203.860550705154,125.0,10.0,126
126999.0,4608.342305516152,126.0,10.0,127
127999.0,4734.1334135220395,127.0,10.0,128
128999.0,4905.190336823638,128.0,10.0,129
129999.0,6484.388978294907,129.0,10.0,130
130999.0,-446.0662920160818,130.0,10.0,131
131999.0,4425.666137376506,131.0,10.0,132
132999.0,6509.73318413519,132.0,10.0,133
133999.0,3637.5407364948346,133.0,10.0,134
134999.0,4119.332600407482,134.0,10.0,135
135999.0,6040.184271978361,135.0,10.0,136
136999.0,4906.23464543523,136.0,11.0,137
137999.0,6165.382572758785,137.0,11.0,138
138999.0,4351.565564278811,138.0,11.0,139
